type,category,question,options,answer,difficulty,explanation
va,prepositions,The new restaurant is located __________ the corner of Main and Oak Streets.,"[""A. at"", ""B. on"", ""C. in"", ""D. between""]",C,easy,"The noun 'corner' is the object of the sentence, and 'in' is used to indicate location."
va,prepositions,The company will pay $100 __________ each employee who attends the seminar.,"[""A. with"", ""B. to"", ""C. for"", ""D. by""]",C,easy,The verb 'pay' is traditionally followed by the preposition 'for'.
va,prepositions,The teacher asked the student to sit __________ her desk and face the class.,"[""A. on"", ""B. at"", ""C. in"", ""D. by""]",C,easy,"The noun 'desk' is the object of the sentence, and 'in' is used to indicate location."
va,prepositions,"The hotel is __________ the city center, making it easy to get around.","[""A. in"", ""B. on"", ""C. at"", ""D. by""]",A,easy,The preposition 'in' is used to indicate location within the city center.
va,prepositions,The package will be delivered __________ the address you provided.,"[""A. to"", ""B. at"", ""C. on"", ""D. in""]",A,easy,The preposition 'to' is used to indicate direction of delivery.
va,prepositions,The team will meet __________ the park at 5 PM.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",A,easy,The preposition 'at' is used to indicate time.
va,prepositions,The new policy will take effect __________ January 1st.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",B,easy,The preposition 'on' is used to indicate a specific date.
va,prepositions,The book is __________ the top shelf in the bookcase.,"[""A. on"", ""B. at"", ""C. in"", ""D. by""]",A,easy,The preposition 'on' is used to indicate location on a surface.
va,prepositions,The company will pay $100 __________ hour for overtime work.,"[""A. with"", ""B. to"", ""C. for"", ""D. by""]",C,easy,The verb 'pay' is traditionally followed by the preposition 'for'.
va,prepositions,The store is __________ the corner of Main and Oak Streets.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",C,easy,The preposition 'in' is used to indicate location within the city.
va,prepositions,The movie will start __________ 8 PM sharp.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",A,easy,The preposition 'at' is used to indicate time.
va,prepositions,The package was delivered __________ the wrong address.,"[""A. to"", ""B. at"", ""C. on"", ""D. in""]",A,easy,The preposition 'to' is used to indicate direction of delivery.
va,prepositions,The team will meet __________ the football field at 5 PM.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",A,easy,The preposition 'at' is used to indicate time.
va,prepositions,The new policy will take effect __________ January 1st.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",B,easy,The preposition 'on' is used to indicate a specific date.
va,prepositions,The book is __________ the top shelf in the bookcase.,"[""A. on"", ""B. at"", ""C. in"", ""D. by""]",A,easy,The preposition 'on' is used to indicate location on a surface.
va,prepositions,The company will pay $100 __________ hour for overtime work.,"[""A. with"", ""B. to"", ""C. for"", ""D. by""]",C,easy,The verb 'pay' is traditionally followed by the preposition 'for'.
va,prepositions,The store is __________ the corner of Main and Oak Streets.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",C,easy,The preposition 'in' is used to indicate location within the city.
va,prepositions,The movie will start __________ 8 PM sharp.,"[""A. at"", ""B. on"", ""C. in"", ""D. by""]",A,easy,The preposition 'at' is used to indicate time.
