type,category,question,options,answer,difficulty,explanation
va,error_correction,The new employee was given a tour of the office by the manager of the company.,"[""A. The new employee was given a tour of the office by the manager of the company."", ""B. The new employees was given a tour of the office by the manager of the company."", ""C. The new employee were given a tour of the office by the manager of the company."", ""D. The new employee was giving a tour of the office by the manager of the company.""]",A,easy,"The subject of the sentence is 'the new employee', which is singular and requires the singular verb 'was'."
va,error_correction,Me and my friends are going to the movies tonight.,"[""A. Me and my friends are going to the movies tonight."", ""B. My friends and I are going to the movies tonight."", ""C. My friends and me are going to the movies tonight."", ""D. My friend and I are going to the movies tonight.""]",B,easy,"The phrase 'my friends and I' is the correct subject of the sentence, so the correct pronoun to use is 'I'."
va,error_correction,The teacher gave the students a book to read for homework.,"[""A. The teacher gave the student a book to read for homework."", ""B. The teacher gives the students a book to read for homework."", ""C. The teacher gave the students a book to read for homework."", ""D. The teacher give the students a book to read for homework.""]",C,easy,The verb 'gave' is in the past tense to match the past tense of the subject 'the students'.
va,error_correction,The new policy has been very successful so far.,"[""A. The new policy has been very successful so far."", ""B. The new policy was very successful so far."", ""C. The new policy is very successful so far."", ""D. The new policy will be very successful so far.""]",A,easy,The sentence is in the present perfect tense to describe an action that started in the past and continues up to the present.
va,error_correction,The members of the team was very disappointed by the loss.,"[""A. The members of the team was very disappointed by the loss."", ""B. The members of the team are very disappointed by the loss."", ""C. The member of the team was very disappointed by the loss."", ""D. The members of the team is very disappointed by the loss.""]",B,easy,"The subject of the sentence is 'the members of the team', which is plural and requires the plural verb 'are'."
va,error_correction,The students who is going to the movies with me.,"[""A. The students who is going to the movies with me."", ""B. The student who is going to the movies with me."", ""C. The students who are going to the movies with me."", ""D. The students that is going to the movies with me.""]",C,easy,"The subject of the sentence is 'the students', which is plural and requires the plural verb 'are'."
va,error_correction,The new employee will be joining the company next week.,"[""A. The new employee will be joining the company next week."", ""B. The new employee is joining the company next week."", ""C. The new employee was joining the company next week."", ""D. The new employee has joined the company last week.""]",A,easy,The sentence is in the future tense to describe an action that will happen in the future.
va,error_correction,The teacher asked the students to write a essay on the topic.,"[""A. The teacher asked the students to write a essay on the topic."", ""B. The teacher asked the students to write an essay on the topic."", ""C. The teacher asked the students to write a essays on the topic."", ""D. The teacher asked the students to write essays on the topic.""]",B,easy,The noun 'essay' requires the indefinite article 'an' before it.
va,error_correction,The new policy will be implemented in the next quarter.,"[""A. The new policy will be implemented in the next quarter."", ""B. The new policy is implemented in the next quarter."", ""C. The new policy has been implemented in the next quarter."", ""D. The new policy will have been implemented in the next quarter.""]",A,easy,The sentence is in the future tense to describe an action that will happen in the future.
va,error_correction,The students who has been working hard will be rewarded.,"[""A. The students who has been working hard will be rewarded."", ""B. The student who has been working hard will be rewarded."", ""C. The students who have been working hard will be rewarded."", ""D. The students that has been working hard will be rewarded.""]",C,easy,"The subject of the sentence is 'the students', which is plural and requires the plural verb 'have been'."
va,error_correction,The company has been in business for over 10 years.,"[""A. The company has been in business for over 10 years."", ""B. The company is in business for over 10 years."", ""C. The company was in business for over 10 years."", ""D. The company will be in business for over 10 years.""]",A,easy,The sentence is in the present perfect tense to describe an action that started in the past and continues up to the present.
va,error_correction,The teacher gave the students a lot of homework last night.,"[""A. The teacher gave the students a lot of homework last night."", ""B. The teacher gave the students a lot of homework tonight."", ""C. The teacher gives the students a lot of homework last night."", ""D. The teacher gave the students a few homework last night.""]",A,easy,The sentence is in the past tense to describe an action that happened in the past.
