type,category,question,options,answer,difficulty,explanation
va,tenses,I __ (eat) breakfast at 7 o'clock every morning.,"[""A. eat"", ""B. am eating"", ""C. will eat"", ""D. was eating""]",A,easy,The Simple Present tense is used to describe regular and repeated actions.
va,tenses,"By next year, I __ (travel) to five different countries.","[""A. have traveled"", ""B. have been traveling"", ""C. will have traveled"", ""D. am traveling""]",C,easy,The Future Perfect tense is used to describe an action that will be completed at a specific point in the future.
va,tenses,What __ (do) when I arrive?,"[""A. are you doing"", ""B. were you doing"", ""C. will you do"", ""D. do you do""]",C,easy,The Simple Future tense is used to describe a future action that is going to happen.
va,tenses,"By the time I arrived, they __ (eat) already.","[""A. have eaten"", ""B. were eating"", ""C. eat"", ""D. will eat""]",A,easy,The Past Perfect tense is used to describe an action that occurred before another action in the past.
va,tenses,What __ (you do) yesterday?,"[""A. are you doing"", ""B. were you doing"", ""C. do you do"", ""D. did you do""]",D,easy,The Simple Past tense is used to describe a completed action in the past.
va,tenses,"By next year, I __ (study) English for three years.","[""A. will study"", ""B. have studied"", ""C. have been studying"", ""D. am studying""]",B,easy,The Future Perfect tense is used to describe an action that will be completed at a specific point in the future.
va,tenses,What __ (you do) if it rains?,"[""A. are you doing"", ""B. were you doing"", ""C. do you do"", ""D. did you do""]",C,easy,The Simple Present tense is used to describe regular and repeated actions.
va,tenses,"When I was a child, my parents __ (travel) to many countries.","[""A. were traveling"", ""B. will travel"", ""C. had traveled"", ""D. travel""]",C,easy,The Past Perfect tense is used to describe an action that occurred before another action in the past.
va,tenses,I __ (know) him since we were in college.,"[""A. know"", ""B. have known"", ""C. will know"", ""D. was knowing""]",B,easy,The Past Perfect tense is used to describe an action that occurred before another action in the past.
va,tenses,"By this time next year, I __ (write) three books.","[""A. will write"", ""B. have written"", ""C. will have written"", ""D. am writing""]",C,easy,The Future Perfect tense is used to describe an action that will be completed at a specific point in the future.
va,tenses,I _____ my homework in the evening.,"[""A. do"", ""B. did"", ""C. will do"", ""D. am doing""]",B,easy,The Past Simple tense is used for completed actions in the past.
va,tenses,"By next year, I _____ English for five years.","[""A. have been studying"", ""B. will be studying"", ""C. have studied"", ""D. study""]",A,easy,The Present Perfect Continuous tense is used for actions started in the past and continued up to the present.
va,tenses,What _____ you do last night?,"[""A. do"", ""B. does"", ""C. did"", ""D. are doing""]",C,easy,The Past Simple tense is used for completed actions in the past.
va,tenses,"By the time I arrived, they _____ their homework.","[""A. were doing"", ""B. do"", ""C. did"", ""D. have done""]",A,easy,The Past Perfect Continuous tense is used for actions started and continued up to a specific point in the past.
va,tenses,"If I _____ you earlier, I would have helped you.","[""A. see"", ""B. had seen"", ""C. will see"", ""D. see""]",B,easy,The Past Perfect tense is used for completed actions in the past before another action in the past.
va,tenses,"By next month, I _____ English for four years.","[""A. will have studied"", ""B. have studied"", ""C. study"", ""D. am studying""]",B,easy,The Present Perfect tense is used for actions started in the past and relevant to the present.
va,tenses,"When I _____ my degree, I _____ a lot of hard work.","[""A. will graduate"", ""B. graduate"", ""C. will have graduated"", ""D. have graduated""]",C,easy,The Future Perfect tense is used for actions completed at a specific point in the future.
va,tenses,"If I _____ more time, I would have finished my project.","[""A. had"", ""B. will have"", ""C. have"", ""D. will""]",A,easy,The Past Perfect tense is used for completed actions in the past before another action in the past.
va,tenses,"By the time I _____ home, it was already dark.","[""A. will arrive"", ""B. arrive"", ""C. had arrived"", ""D. will have arrived""]",C,easy,The Past Perfect tense is used for completed actions in the past before another action in the past.
va,tenses,What _____ you do at this time tomorrow?,"[""A. will do"", ""B. will have done"", ""C. do"", ""D. are doing""]",A,easy,The Future Simple tense is used for actions that will occur at a specific point in the future.
va,tenses,"If I had studied for the exam, I ___________.","[""A. will be happy"", ""B. am happy"", ""C. would be happy"", ""D. will pass""]",C,easy,"This is an example of the Third Conditional, used to talk about hypothetical past situations."
va,tenses,"By the time I arrived, they ___________ my present.","[""A. had given"", ""B. will give"", ""C. give"", ""D. were giving""]",A,easy,"This is an example of the Past Perfect tense, used to describe an action that occurred before another action in the past."
va,tenses,I ___________ my homework by the time I went to bed.,"[""A. will do"", ""B. did"", ""C. do"", ""D. have done""]",B,easy,"This is an example of the Simple Past tense, used to describe a completed action in the past."
va,tenses,"If I had more money, I ___________ a new car.","[""A. will buy"", ""B. buy"", ""C. would buy"", ""D. have bought""]",C,easy,"This is an example of the Second Conditional, used to talk about hypothetical present situations."
va,tenses,"By the time next year's exam comes, I ___________ for over a year.","[""A. will have studied"", ""B. have studied"", ""C. will study"", ""D. study""]",A,easy,"This is an example of the Future Perfect tense, used to describe an action that will be completed at a specific point in the future."
va,tenses,They ___________ their project in a week.,"[""A. will finish"", ""B. finish"", ""C. have finished"", ""D. were finishing""]",C,easy,"This is an example of the Simple Past tense, used to describe a completed action in the past."
va,tenses,"If I won the lottery, I ___________ a house on the beach.","[""A. will buy"", ""B. buy"", ""C. would buy"", ""D. have bought""]",C,easy,"This is an example of the Second Conditional, used to talk about hypothetical present situations."
va,tenses,"By the time we went to the party, they ___________ for three hours.","[""A. had been dancing"", ""B. had danced"", ""C. were dancing"", ""D. dance""]",A,easy,"This is an example of the Past Perfect Continuous tense, used to describe an action that occurred before another action in the past and continued for a certain period."
va,tenses,I ___________ my best friend since I was a child.,"[""A. will know"", ""B. know"", ""C. have known"", ""D. have been knowing""]",C,easy,"This is an example of the Present Perfect tense, used to describe an action that started in the past and continues up to the present."
va,tenses,"If I had studied harder, I ___________ the exam.","[""A. will pass"", ""B. pass"", ""C. would pass"", ""D. have passed""]",C,easy,"This is an example of the Third Conditional, used to talk about hypothetical past situations."
va,tenses,I ___ (go) to the store every morning.,"[""A. go"", ""B. am going"", ""C. was going"", ""D. will go""]",B,easy,"The Simple Present tense is used to describe habits, routines, and general truths."
va,tenses,"By next year, she ___ (travel) to ten different countries.","[""A. will have traveled"", ""B. has traveled"", ""C. will travel"", ""D. is traveling""]",A,easy,The Future Perfect tense is used to describe an action that will be completed by a specific point in the future.
va,tenses,My grandmother ___ (live) in this house for over fifty years.,"[""A. lives"", ""B. is living"", ""C. has lived"", ""D. was living""]",C,easy,The Simple Past tense is used to describe completed actions in the past.
va,tenses,"By the time I arrived, they ___ (eat) already.","[""A. were eating"", ""B. had eaten"", ""C. eat"", ""D. are eating""]",B,easy,The Past Perfect tense is used to describe an action that occurred before another action in the past.
va,tenses,"If I won the lottery, I ___ (buy) a house.","[""A. will buy"", ""B. would buy"", ""C. am buying"", ""D. have bought""]",B,easy,The First Conditional is used to describe possible future situations and their consequences.
va,tenses,They ___ (play) soccer every Saturday for the past five years.,"[""A. play"", ""B. are playing"", ""C. have played"", ""D. was playing""]",C,easy,The Simple Past tense is used to describe completed actions in the past.
va,tenses,I ___ (not finish) my homework yet.,"[""A. finished"", ""B. finish"", ""C. will finish"", ""D. have not finished""]",D,easy,The Present Perfect tense is used to describe actions that started in the past and continue up to the present.
va,tenses,She ___ (be) a doctor for over ten years.,"[""A. is being"", ""B. is"", ""C. has been"", ""D. was being""]",C,easy,The Simple Present tense is used to describe states and habits.
va,tenses,"By the time we arrived, they ___ (already leave).","[""A. leave"", ""B. were leaving"", ""C. had left"", ""D. will leave""]",C,easy,The Past Perfect tense is used to describe an action that occurred before another action in the past.
va,tenses,My parents ___ (visit) me last week.,"[""A. visit"", ""B. were visiting"", ""C. have visited"", ""D. will visit""]",C,easy,The Simple Past tense is used to describe completed actions in the past.
va,tenses,I _______ my homework at 9 o'clock yesterday.,"[""A. will do"", ""B. was doing"", ""C. have done"", ""D. do""]",B,easy,
va,tenses,"When I _______ here, I did not know that the town had a beautiful beach.","[""A. arrive"", ""B. will arrive"", ""C. had arrived"", ""D. was arriving""]",C,easy,
va,tenses,"By the time I _______ my degree, I would be 25 years old.","[""A. finish"", ""B. finished"", ""C. will finish"", ""D. will have finished""]",D,easy,
va,tenses,"If I _______ to the party, I would have met you.","[""A. go"", ""B. went"", ""C. will go"", ""D. will have gone""]",D,easy,
va,tenses,I _______ my car for three years now.,"[""A. own"", ""B. owned"", ""C. will own"", ""D. have owned""]",D,easy,
va,tenses,"By next year, I _______ English for five years.","[""A. will learn"", ""B. have learned"", ""C. am learning"", ""D. learn""]",B,easy,
va,tenses,"If it _______ raining, we would not have gone to the park.","[""A. will rain"", ""B. rains"", ""C. rained"", ""D. would rain""]",C,easy,
va,tenses,"By the time I _______ this book, I will have finished my homework.","[""A. read"", ""B. will read"", ""C. have been reading"", ""D. will have read""]",D,easy,
va,tenses,"If I _______ earlier, I could have caught the bus.","[""A. go"", ""B. went"", ""C. will go"", ""D. would have gone""]",D,easy,
va,tenses,I _______ my phone since I left home.,"[""A. do not use"", ""B. was not using"", ""C. have not used"", ""D. am not using""]",C,easy,
va,tenses,"By the time the sun sets tomorrow, we ___ for over forty-eight hours without a break.","[""A. will work"", ""B. will have been working"", ""C. would have worked"", ""D. are working""]",B,medium,The Future Perfect Continuous tense is used to describe an action that will be continuing up until a point in the future.
va,tenses,It's already five o'clock; I ___ my homework for five hours now.,"[""A. do"", ""B. have been doing"", ""C. was doing"", ""D. have done""]",B,medium,The Present Perfect Continuous tense is used to describe an action that started in the past and continues up until now.
va,tenses,"By next week, she ___ English for three years.","[""A. will have been learning"", ""B. is learning"", ""C. has been learning"", ""D. was learning""]",A,medium,The Future Perfect tense is used to describe an action that will be completed at a specific point in the future.
va,tenses,I ___ my car for two hours before I got a puncture.,"[""A. was driving"", ""B. have been driving"", ""C. had driven"", ""D. will have driven""]",C,medium,The Past Perfect tense is used to describe an action that occurred before another action in the past.
va,tenses,"If I had studied harder, I ___ for the exam.","[""A. pass"", ""B. would pass"", ""C. had passed"", ""D. will pass""]",B,medium,The Third Conditional is used to describe a hypothetical situation in the past and its consequences.
va,tenses,They ___ their homework every evening for a week before the deadline.,"[""A. do"", ""B. have been doing"", ""C. did"", ""D. had been doing""]",B,medium,The Past Perfect Continuous tense is used to describe an action that started in the past and continued up until another point in the past.
