type,category,question,options,answer,difficulty,explanation
va,para_jumbles,"Arrange the following sentences in a logical order:
1. The sun was shining brightly in the sky.
2. It had just started to rain.
3. We had planned a picnic that day.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 3-1-2""]",A,easy,"Sentence 1 describes the initial weather condition (shining sun), followed by a sudden change in sentence 2 (raining), and concluding with the planned event in sentence 3."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. They finally reached the top of the mountain.
2. The hikers started their journey early in the morning.
3. After a few hours of walking, they stopped for a break.","[""A. 2-3-1"", ""B. 1-2-3"", ""C. 3-2-1"", ""D. 2-1-3""]",C,easy,"Sentence 2 sets the starting point (morning), followed by an intermediate action in sentence 3 (break), and concluding with the final outcome in sentence 1 (reaching the top)."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. She had been looking forward to this trip for months.
2. The travel agency offered a package deal to visit several cities.
3. They took a bus to the airport, where they boarded a plane.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",B,easy,"Sentence 2 introduces the main event (package deal), followed by the initial anticipation in sentence 1 (looking forward), and concluding with the travel arrangements in sentence 3."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. The teacher assigned the project to the students.
2. They worked together to complete the project.
3. After submitting the project, the students received their grades.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",C,easy,"Sentence 1 sets the starting point (assignment), followed by the action in sentence 2 (working together), and concluding with the outcome in sentence 3 (receiving grades)."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. The concert started at 8 PM.
2. The crowd began to disperse after the concert.
3. The band performed their hit songs during the show.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",C,easy,"Sentence 1 sets the starting point (start time), followed by the main event in sentence 3 (concert performance), and concluding with the outcome in sentence 2 (crowd dispersing)."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. The students had a short break between classes.
2. They attended their first class of the day.
3. The students then headed to their second class.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",C,easy,"Sentence 2 sets the starting point (first class), followed by the break in sentence 1 (short break), and concluding with the next action in sentence 3 (second class)."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. They decided to go to the beach.
2. After a while, they packed up and left the beach.
3. The family spent the entire day soaking up the sun and playing in the waves.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",C,easy,"Sentence 1 sets the starting point (deciding to go), followed by the action in sentence 3 (spending the day), and concluding with the outcome in sentence 2 (leaving)."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. The company launched a new marketing campaign.
2. They analyzed the results of the campaign and made adjustments as needed.
3. The goal of the campaign was to increase sales.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",C,easy,"Sentence 1 sets the starting point (launching the campaign), followed by the action in sentence 2 (analyzing results), and concluding with the goal in sentence 3 (increasing sales)."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. The students had a lot of fun at the party.
2. They invited all of their friends to the party.
3. The party was held at the school gym.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",C,easy,"Sentence 2 sets the starting point (inviting friends), followed by the action in sentence 1 (having fun), and concluding with the location in sentence 3 (school gym)."
va,para_jumbles,"Arrange the following sentences in a logical order:
1. The tourists visited several famous landmarks during their trip.
2. They took a bus to the city center.
3. The tourists had been planning their trip for months.","[""A. 2-1-3"", ""B. 3-2-1"", ""C. 1-2-3"", ""D. 2-3-1""]",C,easy,"Sentence 3 sets the starting point (planning the trip), followed by the action in sentence 2 (taking the bus), and concluding with the outcome in sentence 1 (visiting landmarks)."
