type,category,question,options,answer,difficulty,explanation
va,sentence_completion,"The new policy has caused ___ among the employees, who fear it will lead to ___.","[""A. unease, job loss"", ""B. joy, increased pay"", ""C. resentment, job security"", ""D. excitement, career advancement""]",A,easy,Context implies a negative reaction due to the policy.
va,sentence_completion,"The tourists got lost in the ___ of the city's streets, which seemed to go on forever.","[""A. complexity, simplicity"", ""B. narrowness, wideness"", ""C. simplicity, complexity"", ""D. straightness, crookedness""]",C,easy,Context suggests the streets were winding and difficult to navigate.
va,sentence_completion,The teacher asked the students to ___ their research papers before submitting them.,"[""A. rewrite, edit"", ""B. read, review"", ""C. proofread, finalize"", ""D. draft, submit""]",C,easy,Context implies the students need to double-check their work for errors.
va,sentence_completion,"The new employee was nervous on her first day, but her coworkers were very ___ and helped her feel at ease.","[""A. friendly, welcoming"", ""B. hostile, intimidating"", ""C. quiet, distant"", ""D. lazy, unhelpful""]",A,easy,Context implies a positive interaction between coworkers and new employee.
va,sentence_completion,The company's profits increased significantly after they ___ their marketing strategy.,"[""A. changed, modified"", ""B. implemented, expanded"", ""C. revised, updated"", ""D. abandoned, changed""]",B,easy,"Context suggests the marketing strategy was already in place, but was improved upon."
va,sentence_completion,"The tourists were surprised by the ___ of the local culture, which was much more diverse than they had expected.","[""A. richness, poverty"", ""B. simplicity, complexity"", ""C. homogeneity, diversity"", ""D. familiarity, strangeness""]",C,easy,Context implies a positive discovery about the local culture.
va,sentence_completion,The students were ___ to learn that they would have a week-long break from classes.,"[""A. excited, disappointed"", ""B. happy, sad"", ""C. relieved, anxious"", ""D. joyful, bored""]",A,easy,Context implies a positive reaction to the news.
va,sentence_completion,The hikers had to ___ their pace to avoid getting caught in the storm.,"[""A. slow, quicken"", ""B. speed, slow"", ""C. quicken, slow"", ""D. accelerate, decelerate""]",C,easy,Context implies a need to move more slowly to avoid danger.
va,sentence_completion,The company's goal is to ___ its products to a wider market.,"[""A. export, import"", ""B. expand, limit"", ""C. diversify, specialize"", ""D. develop, abandon""]",C,easy,Context implies a desire to reach a broader customer base.
va,sentence_completion,"The tourists were amazed by the ___ of the ancient city, which seemed to stretch on forever.","[""A. grandeur, smallness"", ""B. complexity, simplicity"", ""C. vastness, narrowness"", ""D. beauty, ugliness""]",C,easy,Context implies a sense of awe at the size of the ancient city.
va,sentence_completion,The students were told to ___ their notes before the final exam.,"[""A. revise, submit"", ""B. read, review"", ""C. study, memorize"", ""D. organize, summarize""]",D,easy,Context implies a need to condense and refine the notes.
va,sentence_completion,The company's profits decreased due to the ___ of the economic downturn.,"[""A. impact, lack of impact"", ""B. severity, mildness"", ""C. duration, brevity"", ""D. depth, shallowness""]",B,easy,Context implies a negative reaction to the economic downturn.
va,sentence_completion,"The tourists were disappointed by the ___ of the museum, which was much smaller than they had expected.","[""A. grandeur, smallness"", ""B. complexity, simplicity"", ""C. vastness, narrowness"", ""D. beauty, ugliness""]",A,easy,Context implies a negative reaction to the size of the museum.
va,sentence_completion,The students were ___ to learn that they would have a project due in just one week.,"[""A. excited, anxious"", ""B. happy, sad"", ""C. relieved, disappointed"", ""D. joyful, bored""]",A,easy,Context implies a positive reaction to the news.
va,sentence_completion,The tourists had to ___ their luggage before checking in for their flight.,"[""A. pack, unpack"", ""B. weigh, check"", ""C. claim, check"", ""D. inspect, declare""]",C,easy,Context implies a need to verify the presence of luggage.
va,sentence_completion,The company's goal is to ___ its products to a wider market through effective marketing.,"[""A. export, import"", ""B. expand, limit"", ""C. diversify, specialize"", ""D. develop, abandon""]",C,easy,Context implies a desire to reach a broader customer base.
va,sentence_completion,"The tourists were amazed by the ___ of the ancient temple, which seemed to defy gravity.","[""A. grandeur, size"", ""B. complexity, simplicity"", ""C. beauty, ugliness"", ""D. grandeur, grandiosity""]",A,easy,Context implies a sense of awe at the size and grandeur of the ancient temple.
va,sentence_completion,"The new policy has been well-received by many of our long-time customers, who find it to be a big ___.","[""A. improvement"", ""B. relief"", ""C. change"", ""D. advantage""]",A,easy,"The phrase 'well-received' implies a positive reaction, so the missing word should also be positive."
va,sentence_completion,The tourists got lost in the forest because they failed to bring a ___ and a map.,"[""A. compass, water bottle"", ""B. knife, watch"", ""C. first aid kit, camera"", ""D. flashlight, umbrella""]",A,easy,"The context mentions getting lost, so the missing items should be relevant to navigation and survival."
va,sentence_completion,The company's profits have increased dramatically due to the new marketing ___ and efficient production processes.,"[""A. strategies, procedures"", ""B. campaigns, methods"", ""C. efforts, techniques"", ""D. plans, systems""]",B,easy,"The context mentions increased profits, so the missing words should be related to effective marketing and production."
va,sentence_completion,The tourists got lost in the forest because they failed to bring a ___.,"[""A. compass"", ""B. knife"", ""C. first aid kit"", ""D. flashlight""]",A,easy,"The context mentions getting lost, so the missing item should be relevant to navigation."
va,sentence_completion,The new restaurant has been attracting a lot of attention due to its unique ___ and delicious food.,"[""A. atmosphere, cuisine"", ""B. decor, menu"", ""C. location, service"", ""D. music, ambiance""]",A,easy,"The context mentions attracting attention, so the missing words should be related to the restaurant's appeal."
va,sentence_completion,The students were unable to complete the project on time because they had a ___ in understanding the task.,"[""A. lack"", ""B. difference"", ""C. delay"", ""D. lack of clarity""]",A,easy,"The context mentions being unable to complete the project, so the missing word should be related to a problem with understanding the task."
va,sentence_completion,"The new policy has been well-received by many of our long-time customers, who find it to be a big ___.","[""A. improvement"", ""B. relief"", ""C. change"", ""D. advantage""]",A,easy,"The phrase 'well-received' implies a positive reaction, so the missing word should also be positive."
va,sentence_completion,The tourists got lost in the forest because they failed to bring a ___.,"[""A. compass"", ""B. knife"", ""C. first aid kit"", ""D. flashlight""]",A,easy,"The context mentions getting lost, so the missing item should be relevant to navigation."
va,sentence_completion,The new restaurant has been attracting a lot of attention due to its unique ___ and delicious food.,"[""A. atmosphere, cuisine"", ""B. decor, menu"", ""C. location, service"", ""D. music, ambiance""]",A,easy,"The context mentions attracting attention, so the missing words should be related to the restaurant's appeal."
va,sentence_completion,The students were unable to complete the project on time because they had a ___ in understanding the task.,"[""A. lack"", ""B. difference"", ""C. delay"", ""D. lack of clarity""]",A,easy,"The context mentions being unable to complete the project, so the missing word should be related to a problem with understanding the task."
va,sentence_completion,The company's profits have increased dramatically due to the new marketing ___ and efficient production processes.,"[""A. strategies, procedures"", ""B. campaigns, methods"", ""C. efforts, techniques"", ""D. plans, systems""]",B,easy,"The context mentions increased profits, so the missing words should be related to effective marketing and production."
va,sentence_completion,The tourists got lost in the forest because they failed to bring a ___ and a map.,"[""A. compass, water bottle"", ""B. knife, watch"", ""C. first aid kit, camera"", ""D. flashlight, umbrella""]",A,easy,"The context mentions getting lost, so the missing items should be relevant to navigation and survival."
va,sentence_completion,"The new policy has been well-received by many of our long-time customers, who find it to be a big ___.","[""A. improvement"", ""B. relief"", ""C. change"", ""D. advantage""]",A,easy,"The phrase 'well-received' implies a positive reaction, so the missing word should also be positive."
va,sentence_completion,The tourists got lost in the forest because they failed to bring a ___.,"[""A. compass"", ""B. knife"", ""C. first aid kit"", ""D. flashlight""]",A,easy,"The context mentions getting lost, so the missing item should be relevant to navigation."
va,sentence_completion,The new restaurant has been attracting a lot of attention due to its unique ___ and delicious food.,"[""A. atmosphere, cuisine"", ""B. decor, menu"", ""C. location, service"", ""D. music, ambiance""]",A,easy,"The context mentions attracting attention, so the missing words should be related to the restaurant's appeal."
va,sentence_completion,The students were unable to complete the project on time because they had a ___ in understanding the task.,"[""A. lack"", ""B. difference"", ""C. delay"", ""D. lack of clarity""]",A,easy,"The context mentions being unable to complete the project, so the missing word should be related to a problem with understanding the task."
va,sentence_completion,The company's profits have increased dramatically due to the new marketing ___ and efficient production processes.,"[""A. strategies, procedures"", ""B. campaigns, methods"", ""C. efforts, techniques"", ""D. plans, systems""]",B,easy,"The context mentions increased profits, so the missing words should be related to effective marketing and production."
va,sentence_completion,The smell in the room was so bad it made everyone feel ___.,"[""A. unwell"", ""B. happy"", ""C. sad"", ""D. thirsty""]",A,easy,The context of the bad smell implies a negative impact on people's health.
va,sentence_completion,"The new employee was nervous on his first day, but his ___, friendly demeanor quickly won over his colleagues.","[""A. quiet, charming"", ""B. shy, confident"", ""C. anxious, friendly"", ""D. arrogant, sarcastic""]",C,easy,"The context of the employee being nervous and then winning over colleagues suggests a positive, friendly demeanor."
va,sentence_completion,The teacher asked the students to write a short story about their ___.,"[""A. childhood"", ""B. family"", ""C. favorite hobby"", ""D. pets""]",A,easy,The context of writing a short story about a specific aspect of their lives suggests an early stage of life.
va,sentence_completion,The tourists got lost in the city because they didn't have a ___.,"[""A. map"", ""B. guidebook"", ""C. compass"", ""D. camera""]",A,easy,The context of getting lost in a city suggests the need for a navigational tool.
va,sentence_completion,"The new policy has been met with ___, from both supporters and critics alike.","[""A. praise, criticism"", ""B. approval, disapproval"", ""C. excitement, skepticism"", ""D. interest, indifference""]",A,easy,The context of the policy receiving feedback from both sides suggests a mixed reaction.
va,sentence_completion,"The smell of freshly baked cookies wafted through the entire building, making everyone feel ___.","[""A. happy"", ""B. sad"", ""C. angry"", ""D. thirsty""]",A,easy,The context of the smell of freshly baked cookies is typically associated with a positive feeling.
va,sentence_completion,"The artist's unique style was a major factor in her ___, from critics and collectors alike.","[""A. success, failure"", ""B. popularity, obscurity"", ""C. fame, infamy"", ""D. wealth, poverty""]",B,easy,The context of the artist's style being a major factor suggests a positive impact on her career.
va,sentence_completion,"The students were excited to start their summer break and leave the ___, behind.","[""A. homework, textbooks"", ""B. classes, exams"", ""C. teachers, school"", ""D. friends, parties""]",B,easy,The context of the students wanting to leave something behind suggests academic aspects of school.
va,sentence_completion,"The company's decision to cut costs led to a ___, in employee morale.","[""A. rise, fall"", ""B. decrease, increase"", ""C. improvement, decline"", ""D. drop, surge""]",B,easy,The context of cutting costs and its impact on employee morale suggests a negative effect.
va,sentence_completion,"The tourists got frustrated with the long lines at the attraction and decided to ___, their visit to another day.","[""A. postpone, cancel"", ""B. shorten, extend"", ""C. skip, reschedule"", ""D. delay, expedite""]",A,easy,The context of getting frustrated with long lines suggests a desire to avoid the situation.
va,sentence_completion,"The new employee was eager to learn and quickly became an expert in the ___, of the company.","[""A. finance, marketing"", ""B. sales, customer service"", ""C. management, operations"", ""D. IT, HR""]",C,easy,The context of becoming an expert suggests a specific area of the company.
va,sentence_completion,"The students were disappointed to hear that the school dance had been ___, due to a scheduling conflict.","[""A. cancelled, postponed"", ""B. delayed, rescheduled"", ""C. shortened, extended"", ""D. moved, relocated""]",A,easy,The context of the school dance being cancelled suggests a negative impact on the students.
va,sentence_completion,"The company's new policy has been met with ___, from both employees and management.","[""A. praise, criticism"", ""B. approval, disapproval"", ""C. excitement, skepticism"", ""D. interest, indifference""]",B,easy,The context of the policy receiving feedback from both sides suggests a mixed reaction.
va,sentence_completion,"The tourists got lost in the city because they didn't have a ___, to navigate.","[""A. map, compass"", ""B. guidebook, brochure"", ""C. GPS, smartphone"", ""D. camera, binoculars""]",A,easy,The context of getting lost in a city suggests the need for a navigational tool.
va,sentence_completion,"The students were excited to start their summer break and leave the ___, behind them.","[""A. homework, textbooks"", ""B. classes, exams"", ""C. teachers, school"", ""D. friends, parties""]",B,easy,The context of the students wanting to leave something behind suggests academic aspects of school.
va,sentence_completion,"The company's decision to increase wages led to a ___, in employee morale.","[""A. rise, fall"", ""B. decrease, increase"", ""C. improvement, decline"", ""D. drop, surge""]",B,easy,The context of increasing wages and its impact on employee morale suggests a positive effect.
va,sentence_completion,"The tourists got frustrated with the long lines at the attraction and decided to ___, their visit to another day.","[""A. postpone, cancel"", ""B. shorten, extend"", ""C. skip, reschedule"", ""D. delay, expedite""]",A,easy,The context of getting frustrated with long lines suggests a desire to avoid the situation.
va,sentence_completion,"The new policy has been met with ___, ranging from mild protests to outright ___.","[""A. indifference, approval"", ""B. resistance, opposition"", ""C. enthusiasm, disapproval"", ""D. skepticism, indifference""]",B,medium,'Ranging from' indicates a spectrum of reactions.
va,sentence_completion,"The company's decision to downsize has led to a significant ___, which has resulted in a substantial ___.","[""A. increase, decrease"", ""B. decrease, increase"", ""C. decrease, decrease"", ""D. increase, increase""]",B,medium,'Led to' indicates causality.
va,sentence_completion,The tourists were disappointed to find that the famous landmark was closed for ___ and could not be seen from the ___.,"[""A. renovations, outside"", ""B. maintenance, inside"", ""C. construction, afar"", ""D. repairs, nearby""]",C,medium,'Closed for' indicates a reason for closure.
va,sentence_completion,The new employee was initially overwhelmed by the workload but soon became more confident and began to tackle each challenge with greater ___ and enthusiasm.,"[""A. reluctance, apathy"", ""B. reluctance, enthusiasm"", ""C. determination, apathy"", ""D. apathy, enthusiasm""]",B,medium,'Initially' indicates a change in state.
va,sentence_completion,"The company's profits have been on the rise for several years, and this trend is likely to continue in the coming ___.","[""A. months, years"", ""B. years, months"", ""C. quarters, years"", ""D. years, quarters""]",B,medium,'Likely to continue' indicates a prediction.
va,sentence_completion,"The researcher's hypothesis was that the new medication would have a ___ effect on patients with chronic pain, but the results of the study were somewhat ___.","[""A. positive, disappointing"", ""B. negative, disappointing"", ""C. neutral, surprising"", ""D. positive, surprising""]",D,medium,'Somewhat' indicates a degree of unexpectedness.
va,sentence_completion,"The city's population has been growing steadily over the past decade, and this trend is expected to ___ in the coming years.","[""A. accelerate, slow"", ""B. slow, accelerate"", ""C. remain the same, increase"", ""D. decrease, remain the same""]",B,medium,'Expected to' indicates a prediction.
va,sentence_completion,"The artist's latest piece was met with both praise and criticism, but many of the critics' objections were ___ by the artist's supporters.","[""A. supported, rejected"", ""B. rejected, supported"", ""C. defended, dismissed"", ""D. dismissed, defended""]",C,medium,'Many of the critics' objections' indicates a contrast.
va,sentence_completion,The company's decision to invest in renewable energy has been widely ___ and is expected to have a significant ___ on the environment.,"[""A. praised, positive"", ""B. criticized, negative"", ""C. praised, negative"", ""D. criticized, positive""]",A,medium,'Expected to have a significant' indicates a prediction.
va,sentence_completion,The tourists got lost in the city because they had no map and could not ___ the streets or ask for directions.,"[""A. read, follow"", ""B. read, ask"", ""C. follow, ask"", ""D. ask, follow""]",A,medium,'Could not' indicates a difficulty.
va,sentence_completion,The new employee was initially hesitant to take on additional responsibilities but soon became more confident and began to take on more ___ and complex tasks.,"[""A. simple, mundane"", ""B. simple, complex"", ""C. complex, mundane"", ""D. mundane, complex""]",C,medium,'Initially' indicates a change in state.
va,sentence_completion,"The company's profits have been declining for several years, and this trend is likely to ___ in the coming years.","[""A. accelerate, slow"", ""B. slow, accelerate"", ""C. remain the same, decrease"", ""D. increase, remain the same""]",B,medium,'Likely to' indicates a prediction.
va,sentence_completion,"The researcher's hypothesis was that the new medication would have a ___ effect on patients with chronic pain, but the results of the study were ___.","[""A. positive, surprising"", ""B. negative, disappointing"", ""C. neutral, expected"", ""D. positive, disappointing""]",B,medium,'Were' indicates an unexpected result.
va,sentence_completion,The tourists got lost in the city because they had no map and could not ___ the streets or ask for directions.,"[""A. read, follow"", ""B. read, ask"", ""C. follow, ask"", ""D. ask, follow""]",A,medium,'Could not' indicates a difficulty.
va,sentence_completion,"The artist's latest piece was met with both praise and criticism, but many of the critics' objections were ___ by the artist's supporters.","[""A. supported, rejected"", ""B. rejected, supported"", ""C. defended, dismissed"", ""D. dismissed, defended""]",C,medium,'Many of the critics' objections' indicates a contrast.
va,sentence_completion,The company's decision to invest in renewable energy has been widely ___ and is expected to have a significant ___ on the environment.,"[""A. praised, positive"", ""B. criticized, negative"", ""C. praised, negative"", ""D. criticized, positive""]",A,medium,'Expected to have a significant' indicates a prediction.
va,sentence_completion,The tourists got lost in the city because they had no map and could not ___ the streets or ask for directions.,"[""A. read, follow"", ""B. read, ask"", ""C. follow, ask"", ""D. ask, follow""]",A,medium,'Could not' indicates a difficulty.
va,sentence_completion,"The new policy has been met with both praise and criticism, but the company's ___ to the backlash has been ___.","[""A. promptness, constructive"", ""B. slowness, destructive"", ""C. timeliness, negative"", ""D. hesitation, positive""]",A,medium,"'Despite' indicates a contrast. The policy has been met with both praise and criticism, but the company's response has been prompt and constructive."
va,sentence_completion,"The tourists got lost in the maze of streets in the old city, but they still managed to find their way to the ___ of the ancient cathedral.","[""A. entrance, which was impressive"", ""B. exit, that was disappointing"", ""C. facade, that was beautiful"", ""D. interior, which was grand""]",C,medium,"The tourists got lost, but they still managed to find their way to the facade of the ancient cathedral, which was beautiful."
va,sentence_completion,"The company's decision to downsize has had a ___ on employee morale, consequently leading to a ___ in productivity.","[""A. negative, significant"", ""B. positive, slight"", ""C. neutral, moderate"", ""D. mixed, slight""]",A,medium,"The company's decision to downsize has had a negative impact on employee morale, consequently leading to a significant decrease in productivity."
va,sentence_completion,"The artist's use of vibrant colors and bold brushstrokes gave the painting a ___ and energetic feel, which was ___ by the critics.","[""A. dynamic, praised"", ""B. static, criticized"", ""C. calm, panned"", ""D. dull, ignored""]",A,medium,"The artist's use of vibrant colors and bold brushstrokes gave the painting a dynamic and energetic feel, which was praised by the critics."
va,sentence_completion,"The students were surprised to learn that the exam would be___, as they had been studying for weeks.","[""A. longer, easier"", ""B. shorter, harder"", ""C. longer, harder"", ""D. shorter, easier""]",C,medium,"The students were surprised to learn that the exam would be longer and harder, as they had been studying for weeks."
va,sentence_completion,The company's decision to expand into the international market has been ___ by the increasing demand for their products.,"[""A. fueled, motivated"", ""B. hindered, discouraged"", ""C. driven, inspired"", ""D. slowed, discouraged""]",C,medium,The company's decision to expand into the international market has been driven by the increasing demand for their products.
va,sentence_completion,"The tourists were disappointed to find that the famous landmark was ___ from the city center, resulting in a___ journey.","[""A. farther, arduous"", ""B. closer, easy"", ""C. farther, difficult"", ""D. closer, hard""]",A,medium,"The tourists were disappointed to find that the famous landmark was farther from the city center, resulting in an arduous journey."
va,sentence_completion,"The new policy has been met with both praise and criticism, with some arguing that it is ___ and others that it is ___.","[""A. effective, ineffective"", ""B. successful, unsuccessful"", ""C. reasonable, unreasonable"", ""D. just, unjust""]",A,medium,"The new policy has been met with both praise and criticism, with some arguing that it is effective and others that it is ineffective."
va,sentence_completion,The company's decision to invest in renewable energy has been ___ by the increasing cost of fossil fuels.,"[""A. driven, hindered"", ""B. fueled, motivated"", ""C. driven, motivated"", ""D. hindered, discouraged""]",C,medium,The company's decision to invest in renewable energy has been driven by the increasing cost of fossil fuels.
va,sentence_completion,"The tourists got lost in the maze of streets in the old city, but they eventually found their way to the ___ of the ancient cathedral.","[""A. entrance, which was impressive"", ""B. exit, that was disappointing"", ""C. facade, that was beautiful"", ""D. interior, which was grand""]",C,medium,"The tourists got lost, but they eventually found their way to the facade of the ancient cathedral, which was beautiful."
va,sentence_completion,"The artist's use of bold colors and abstract shapes gave the painting a ___ and dynamic feel, which was ___ by the critics.","[""A. vibrant, praised"", ""B. dull, criticized"", ""C. calm, panned"", ""D. static, ignored""]",A,medium,"The artist's use of bold colors and abstract shapes gave the painting a vibrant and dynamic feel, which was praised by the critics."
va,sentence_completion,The company's decision to expand into the international market has been ___ by the increasing demand for their products and services.,"[""A. fueled, motivated"", ""B. hindered, discouraged"", ""C. driven, inspired"", ""D. slowed, discouraged""]",C,medium,The company's decision to expand into the international market has been driven by the increasing demand for their products and services.
va,sentence_completion,"The tourists were disappointed to find that the famous landmark was ___ from the city center, resulting in a___ journey through the crowded streets.","[""A. farther, arduous"", ""B. closer, easy"", ""C. farther, difficult"", ""D. closer, hard""]",A,medium,"The tourists were disappointed to find that the famous landmark was farther from the city center, resulting in an arduous journey through the crowded streets."
va,sentence_completion,"The company's decision to downsize has had a ___ on employee morale, consequently leading to a ___ in productivity and job satisfaction.","[""A. negative, significant"", ""B. positive, slight"", ""C. neutral, moderate"", ""D. mixed, slight""]",A,medium,"The company's decision to downsize has had a negative impact on employee morale, consequently leading to a significant decrease in productivity and job satisfaction."
va,sentence_completion,"The artist's use of vibrant colors and bold brushstrokes gave the painting a ___ and energetic feel, which was ___ by the critics and art enthusiasts.","[""A. dynamic, praised"", ""B. static, criticized"", ""C. calm, panned"", ""D. dull, ignored""]",A,medium,"The artist's use of vibrant colors and bold brushstrokes gave the painting a dynamic and energetic feel, which was praised by the critics and art enthusiasts."
va,sentence_completion,"The new policy has both positive and negative consequences, but its overall impact on the economy is not yet clear.","[""A. still uncertain"", ""B. already evident"", ""C. equally significant"", ""D. largely favorable""]",A,medium,"The sentence discusses both positive and negative consequences, indicating uncertainty about the overall effect."
va,sentence_completion,"Her passion for music led her to pursue a career as a professional singer, but she eventually found it difficult to make a living from it.","[""A. ultimately unsuccessful"", ""B. initially unfulfilling"", ""C. more challenging"", ""D. less rewarding""]",A,medium,"The sentence discusses the challenges of making a living as a singer, leading to an unsuccessful outcome."
va,sentence_completion,The tourists got lost in the city because they had no map and couldn't read the street signs.,"[""A. Consequently, they arrived late for their flight."", ""B. However, they were relieved to have a chance to explore the city."", ""C. Moreover, they decided to ask for directions."", ""D. Nevertheless, they managed to find their way back to the hotel.""]",C,medium,"The sentence describes a series of events (getting lost, not having a map, not being able to read signs) leading to a decision to ask for directions."
va,sentence_completion,The company's profits increased significantly after they implemented the new marketing strategy.,"[""A. Consequently, they were able to hire more employees."", ""B. However, they decided to reduce production."", ""C. Moreover, they invested in research and development."", ""D. Nevertheless, they faced increased competition.""]",A,medium,The sentence discusses a cause-and-effect relationship between the new marketing strategy and increased profits.
va,sentence_completion,The artist's use of bright colors and bold brushstrokes created a sense of energy and dynamism in her paintings.,"[""A. However, some critics found her work to be overly simplistic."", ""B. Moreover, her paintings often dealt with complex themes."", ""C. Nevertheless, her style was widely influential."", ""D. Consequently, she became a celebrated artist.""]",C,medium,"The sentence describes the artist's style and its impact, leading to her influence on other artists."
va,sentence_completion,The new employee was overwhelmed by the amount of work she had to do and the tight deadlines.,"[""A. However, she was able to meet the expectations of her manager."", ""B. Moreover, she found the work to be very interesting."", ""C. Nevertheless, she struggled to keep up."", ""D. Consequently, she asked for help from her colleagues.""]",C,medium,"The sentence describes a challenge faced by the new employee, leading to her struggle to keep up."
