type,category,question,options,answer,difficulty,explanation
va,error_spotting,Identify the part that contains a grammatical error: 'The company / has been in / business for 10 years.',"[""The company"", ""has been in"", ""business for 10 years"", ""No Error""]",C,easy,The word 'business' should be preceded by 'in' to form a complete phrase.
va,error_spotting,Identify the part that contains a grammatical error: 'The teacher / give / the students homework.',"[""The teacher"", ""give"", ""the students homework"", ""No Error""]",B,easy,The subject-verb agreement requires a singular verb 'gives' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The student / are going / to the library.',"[""The student"", ""are going"", ""to the library"", ""No Error""]",B,easy,The subject-verb agreement requires a plural verb 'is going' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The team / has won / the championship three times.',"[""The team"", ""has won"", ""the championship three times"", ""No Error""]",B,easy,The subject-verb agreement requires a singular verb 'has won' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The tourists / are visiting / the city.',"[""The tourists"", ""are visiting"", ""the city"", ""No Error""]",A,easy,The word 'tourists' is a plural noun and should take a plural verb 'are visiting' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The company / has been in business / for 10 years.',"[""The company"", ""has been in business"", ""for 10 years"", ""No Error""]",C,easy,The phrase 'in business' should be preceded by the article 'a' to form a complete phrase.
va,error_spotting,Identify the part that contains a grammatical error: 'The student / is going / to the library.',"[""The student"", ""is going"", ""to the library"", ""No Error""]",C,easy,The subject-verb agreement requires a singular verb 'is going' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The tourists / were visiting / the city.',"[""The tourists"", ""were visiting"", ""the city"", ""No Error""]",A,easy,The word 'tourists' is a plural noun and should take a plural verb 'were visiting' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The team / has reached / the final.',"[""The team"", ""has reached"", ""the final"", ""No Error""]",B,easy,The subject-verb agreement requires a singular verb 'has reached' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The player / are playing / well.',"[""The player"", ""are playing"", ""well"", ""No Error""]",C,easy,The subject-verb agreement requires a plural verb 'is playing' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The teacher / gives / the students homework.',"[""The teacher"", ""gives"", ""the students homework"", ""No Error""]",B,easy,The subject-verb agreement requires a singular verb 'gives' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The tourists / is visiting / the city.',"[""The tourists"", ""is visiting"", ""the city"", ""No Error""]",B,easy,The word 'tourists' is a plural noun and should take a plural verb 'are visiting' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The team / is going / to the final.',"[""The team"", ""is going"", ""to the final"", ""No Error""]",B,easy,The subject-verb agreement requires a singular verb 'is going' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The students / are going / to the library.',"[""The students"", ""are going"", ""to the library"", ""No Error""]",B,easy,The subject-verb agreement requires a plural verb 'are going' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The teacher / has been working / in the school.',"[""The teacher"", ""has been working"", ""in the school"", ""No Error""]",C,easy,The phrase 'in the school' should be preceded by the article 'a' to form a complete phrase.
va,error_spotting,Identify the part that contains a grammatical error: 'The tourists / are visiting / the city.',"[""The tourists"", ""are visiting"", ""the city"", ""No Error""]",B,easy,The word 'tourists' is a plural noun and should take a plural verb 'are visiting' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The team / has won / the championship.',"[""The team"", ""has won"", ""the championship"", ""No Error""]",B,easy,The subject-verb agreement requires a singular verb 'has won' in this context.
va,error_spotting,Identify the part that contains a grammatical error: 'The company / are / known for their excellent service.',"[""The company"", ""are"", ""known for their excellent service"", ""No Error""]",B,easy,The singular subject 'company' requires a singular verb 'is'.
va,error_spotting,Identify the part that contains a grammatical error: 'The students / is / going to the library.',"[""The students"", ""is"", ""going to the library"", ""No Error""]",B,easy,The plural subject 'students' requires a plural verb 'are'.
