type,category,question,options,answer,difficulty,explanation
lr,syllogism,All dogs are mammals. All mammals are animals. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",A,easy,This is a direct conclusion from the given statements.
lr,syllogism,All books in the library are either fiction or non-fiction. All novels are fiction. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",A,easy,This is a direct conclusion from the given statements.
lr,syllogism,All cats are animals. All animals are living beings. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",A,easy,This is a direct conclusion from the given statements.
lr,syllogism,All students in this college are either engineers or doctors. All students in the engineering stream are engineers. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",B,easy,This is a direct conclusion from the given statements.
lr,syllogism,All cars are vehicles. All vehicles have wheels. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",B,easy,This is a direct conclusion from the given statements.
lr,syllogism,All books written by a particular author are fiction. All novels are fiction. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",A,easy,This is a direct conclusion from the given statements.
lr,syllogism,All teachers in this school are either male or female. All female teachers are married. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",A,easy,This is a direct conclusion from the given statements.
lr,syllogism,All birds are animals. All animals are living beings. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",A,easy,This is a direct conclusion from the given statements.
lr,syllogism,All students who scored above 80% are allowed to attend the party. All students who scored above 90% are also allowed to attend the party. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",B,easy,This is a direct conclusion from the given statements.
lr,syllogism,All computers are electronic devices. All electronic devices are made of metal. Which of the following can be concluded from these statements?,"[""A"", ""B"", ""C"", ""D""]",B,easy,This is a direct conclusion from the given statements.
lr,syllogism,All mathematicians are logicians. All logicians are philosophers. Which of the following conclusions can be logically deduced from the premises?,"[""A. All philosophers are logicians."", ""B. All philosophers are mathematicians."", ""C. All logicians are mathematicians."", ""D. All mathematicians are philosophers.""]",C,hard,"The premises state that all mathematicians are logicians and all logicians are philosophers. Therefore, we can conclude that all logicians are mathematicians, but we cannot conclude any relationship between mathematicians and philosophers."
